原理图封装列表

Name                Description
HDR_ENG1
HDR_ENG2
HDR2X1_A
HDR2X1_B1
HDR2X1_B2
HDR2X1_B3
HDR2X1_C
HDR2X1_D1
HDR2X2_A
HDR2X2_B
HDR3X1_A
HDR3X1_B1
HDR3X1_B2
HDR3X1_B4
HDR3X1_C
HDR3X1_D1
HDR3X1_D2
HDR3X2_A1_2.0
HDR3X2_A2_2.0
HDR4X1_A
HDR4X1_B1
HDR4X1_B2
HDR4X1_C
HDR4X1_F
HDR4X2_F2
HDR5X2_A1
HDR5X2_A3
HDR5X2_B1
HDR5X2_B1_2.0
HDR5X2_C2
HDR6X1_A
HDR6X1_B1
HDR6X1_B2
HDR7X2_A1
HDR7X2_B1
HDR7X2_B1_2.0
HDR8X2_A1
HDR8X2_E1
HDR9X1_A
HDR10X2_A1
HDR10X2_B1
HDR10X2_B1_2.0
HDR14X2_A1
HDR14X2_A2
HDR16X1_A
HDR16X2
HDR16X2-HB
HDR16X3_HA
HDR16X3_HB
HDR25X2_B1_2.0
HDR25X2_H
HDR32X2_HA
HDR32X2_HB
HDR34_BT
HDR37X1_F
HDR40X1_A
HDR192_C_2.0
HFBR-X41XMZ
HFKC
HK4100F
HS0038B
JoyStick
L-RB-8
L-RB-8F
L-SMD-7
L-SMD-10
L-SMD-12
L-TDK
LD-4P
LD-6.0
LD-MOD
LED_0805
LED_A1
LED_A2
LED_A3
LED-3528
LED-RGB
LOGO_Thunder
LOGO-3S
LQFP-32_M
LQFP-48_M
LQFP-64
LQFP-64_EP
LQFP-100_M
LQFP-176_M
MSOP-MS8_M
MSOP-UN10_N
Multiwatt15-H
Multiwatt15-V
NSO8_N
NSO8_TP4056
NSO16_M
PD
PDSO-G8
PH2.0-8P
PH2.0-10P
PIN2
PJ-306
PJ-315-B
PW016
QFN-16
RCA/4.5-H2
RCJ-04X
RJ8-1
RJ8-2
RJ8-HR911103A
RJ8-HR911105A
RJ8-HR911105B
SDCARD_A
SDCARD_B
SDCARD-M
SO20_M
SOIC8_N
SOIC8_W
SOIC127P610X175-8N
SOIC127P1050X265-16N
SOP-14N
SOP-20
SOP16-50-208
SOP127P710X350-4N
SOP254P1150X560-10N
SOT-23
SOT-223
SOT-416
SOT23-6
SOT254P-6
SSOP-28
ST188
SW_PB2_A1
SW_PB2_B1
SW_PB2_C1
SW_PB4_A1
SW8_4BIT
SWITCH_A1
SWITCH_A2
SWITCH_A3
SWITCH_B1
T03B
T05A
T05D
TO-92A
TO-220AB
TO-252
TO-263-3
TO-263-5
TO-263-7
TQFP-32
TQFP48_N
TQFP64_EP
TQFP100_M
TQFP144_N
TSOP-44N
TSSOP-8
TSSOP16_M
TSSOP20
TSSOP20P_M
TSSOP24P
USB_A1
USB_AA1
USB_B1
USB_C1
USB_MICRO
VFQN36_V
VR_A1
VR_A2
VR_B1
X-CPX20
X-CPX75
X-HC49U
X-SM49
X-TC15
X-TC26
